"Player.x","Pos1","Tm","Season","Conference","Role","Play","Age","MP","X3P.","X2P.","FT.","ORB","DRB","AST","STL","BLK","TOV","PF","Salary"
"Aaron Brooks","PG","IND","2016-17","Est","Back","No",32,13.8,0.375,0.424,0.8,0.3,0.8,1.9,0.4,0.1,1,1.4,2700000
"Aaron Gordon","SF","ORL","2016-17","Est","Front","No",21,28.7,0.288,0.528,0.719,1.5,3.6,1.9,0.8,0.5,1.1,2.2,4351320
"Adreian Payne","PF","MIN","2016-17","West","Front","No",25,7.5,0.2,0.513,0.737,0.5,1.3,0.4,0.4,0.4,0.4,1.8,2022240
"Al-Farouq Aminu","PF","POR","2016-17","West","Front","No",26,29.1,0.33,0.445,0.706,1.3,6.1,1.6,1,0.7,1.5,1.7,7680965
"Al Horford","C","BOS","2016-17","Est","Front","No",30,32.3,0.355,0.524,0.8,1.4,5.4,5,0.8,1.3,1.7,2,26540100
"Al Jefferson","C","IND","2016-17","Est","Front","No",32,14.1,0,0.5,0.765,1.1,3.1,0.9,0.3,0.2,0.5,1.9,10230179
"Alan Anderson","SF","LAC","2016-17","West","Front","No",34,10.3,0.318,0.444,0.75,0.1,0.7,0.4,0.1,0,0.2,1.2,1315448
"Alan Williams","C","PHO","2016-17","West","Front","No",24,15.1,0,0.519,0.625,2,4.2,0.5,0.6,0.7,0.8,2.7,874636
"Alec Burks","SG","UTA","2016-17","West","Back","No",25,15.5,0.329,0.43,0.769,0.4,2.5,0.7,0.4,0.1,0.8,1.2,9904495
"Álex Abrines","SG","OKC","2016-17","West","Back","No",23,15.5,0.381,0.426,0.898,0.3,1,0.6,0.5,0.1,0.5,1.7,5994764
"Alex Len","C","PHO","2016-17","West","Front","No",23,20.3,0.25,0.503,0.721,2,4.6,0.6,0.5,1.3,1.3,3.1,4823621
"Alexis Ajinça","C","NOP","2016-17","West","Front","No",28,15,0,0.511,0.725,1.2,3.4,0.3,0.5,0.6,0.8,2,4863206
"Allen Crabbe","SG","POR","2016-17","West","Back","No",24,28.5,0.444,0.49,0.847,0.2,2.6,1.2,0.7,0.3,0.8,2.2,18500000
"Alonzo Gee","SF","DEN","2016-17","West","Front","No",29,6.8,0,0.273,0.556,0.3,0.8,0.5,0.4,0.1,0.3,1.1,2255408
"Amir Johnson","PF","BOS","2016-17","Est","Front","No",29,20.1,0.409,0.612,0.67,1.5,3.1,1.8,0.6,0.8,1,2.6,12000000
"Andre Drummond","C","DET","2016-17","Est","Front","No",23,29.7,0.286,0.532,0.386,4.3,9.5,1.1,1.5,1.1,1.9,2.9,22116750
"Andre Iguodala","SF","GSW","2016-17","West","Back","No",33,26.3,0.362,0.651,0.706,0.7,3.3,3.4,1,0.5,0.8,1.3,11131368
"Andre Roberson","SF","OKC","2016-17","West","Front","No",25,30.1,0.245,0.609,0.423,1.2,3.9,1,1.2,1,0.6,2.6,2183072
"Andrew Bogut","C","CLE","2016-17","West","Front","No",32,21.6,0,0.475,0.273,2.1,6,1.8,0.5,0.9,1.6,3.2,11410378
"Andrew Harrison","PG","MEM","2016-17","West","Back","No",22,20.5,0.276,0.363,0.763,0.3,1.6,2.8,0.7,0.3,1.2,2.7,945000
"Andrew Nicholson","PF","BRK","2016-17","Est","Front","No",27,9,0.185,0.452,0.643,0.4,1.2,0.3,0.4,0.2,0.4,1.4,6088993
"Andrew Wiggins","SF","MIN","2016-17","West","Front","No",21,37.2,0.356,0.473,0.76,1.2,2.8,2.3,1,0.4,2.3,2.2,6006600
"Anthony Davis","C","NOP","2016-17","West","Front","Yes",23,36.1,0.299,0.524,0.802,2.3,9.5,2.1,1.3,2.2,2.4,2.2,22116750
"Anthony Morrow","SG","CHI","2016-17","West","Back","No",31,14.6,0.308,0.479,0.919,0.2,0.4,0.5,0.5,0,0.1,0.9,3488000
"Anthony Tolliver","PF","SAC","2016-17","West","Front","No",31,22.7,0.391,0.537,0.744,0.8,2.9,1.2,0.5,0.3,0.9,1.7,8000000
"Arron Afflalo","SG","SAC","2016-17","West","Back","No",31,25.9,0.411,0.457,0.892,0.1,1.9,1.3,0.3,0.1,0.7,1.7,12500000
"Austin Rivers","SG","LAC","2016-17","West","Back","No",24,27.8,0.371,0.491,0.691,0.3,1.9,2.8,0.6,0.1,1.6,2.5,11000000
"Avery Bradley","SG","BOS","2016-17","Est","Back","No",26,33.4,0.39,0.504,0.731,1.2,4.9,2.2,1.2,0.2,1.6,2.6,8269663
"Ben McLemore","SG","SAC","2016-17","West","Back","No",23,19.3,0.382,0.462,0.753,0.3,1.8,0.8,0.5,0.1,1,1.8,4008882
"Beno Udrih","PG","DET","2016-17","Est","Back","No",34,14.4,0.344,0.491,0.941,0.2,1.3,3.4,0.3,0,0.9,0.7,980431
"Blake Griffin","PF","LAC","2016-17","West","Front","No",27,34,0.336,0.514,0.76,1.8,6.3,4.9,0.9,0.4,2.3,2.6,20093064
"Bobby Portis","PF","CHI","2016-17","Est","Front","No",21,15.6,0.333,0.541,0.661,1.2,3.5,0.5,0.3,0.2,0.6,1.5,1404600
"Bojan Bogdanovic","SF","WAS","2016-17","Est","Back","No",27,25.7,0.367,0.512,0.893,0.5,3,1.4,0.4,0.1,1.6,1.8,3573020
"Boris Diaw","PF","UTA","2016-17","West","Front","No",34,17.6,0.247,0.512,0.743,0.6,1.5,2.3,0.2,0.1,1.2,1.1,7000000
"Bradley Beal","SG","WAS","2016-17","Est","Back","No",23,34.9,0.404,0.538,0.825,0.7,2.4,3.5,1.1,0.3,2,2.2,22116750
"Brandan Wright","PF","MEM","2016-17","West","Front","No",29,16,0,0.619,0.657,1.1,1.7,0.5,0.4,0.7,0.4,1.5,5709880
"Brandon Bass","PF","LAC","2016-17","West","Front","No",31,11.1,0.333,0.579,0.875,0.8,1.7,0.4,0.3,0.2,0.6,0.9,1551659
"Brandon Ingram","SF","LAL","2016-17","West","Front","No",19,28.8,0.294,0.443,0.621,0.8,3.2,2.1,0.6,0.5,1.5,2,5281680
"Brandon Jennings","PG","WAS","2016-17","Est","Back","No",27,22.2,0.313,0.399,0.75,0.4,2.1,4.9,0.9,0,1.6,1.4,5587318
"Brandon Knight","SG","PHO","2016-17","West","Back","No",25,21.1,0.324,0.425,0.857,0.5,1.7,2.4,0.5,0.1,1.6,1.6,12606250
"Brandon Rush","SG","MIN","2016-17","West","Back","No",31,21.9,0.386,0.356,0.722,0.3,1.8,1,0.5,0.5,0.6,0.9,3500000
"Brian Roberts","PG","CHO","2016-17","Est","Back","No",31,10.1,0.386,0.372,0.846,0.1,0.8,1.3,0.2,0,0.6,0.4,1050961
"Brook Lopez","C","BRK","2016-17","Est","Front","No",28,29.6,0.346,0.536,0.81,1.6,3.8,2.3,0.5,1.7,2.5,2.6,21165675
"Buddy Hield","SG","SAC","2016-17","West","Back","No",24,23,0.391,0.461,0.842,0.4,2.9,1.5,0.5,0.1,1.2,1.4,3517200
"Cameron Payne","PG","CHI","2016-17","West","Back","No",22,14.9,0.314,0.346,0.625,0.1,1.5,1.8,0.5,0.1,0.9,1.7,2112480
"Caris LeVert","SF","BRK","2016-17","Est","Back","No",22,21.7,0.321,0.571,0.72,0.4,2.9,1.9,0.9,0.1,1,1.6,1562280
"Carmelo Anthony","SF","NYK","2016-17","Est","Front","Yes",32,34.3,0.359,0.466,0.833,0.8,5.1,2.9,0.8,0.5,2.1,2.7,24559380
"Chandler Parsons","SF","MEM","2016-17","West","Front","No",28,19.9,0.269,0.388,0.814,0.2,2.3,1.6,0.6,0.1,0.7,1.5,22116750
"Channing Frye","C","CLE","2016-17","Est","Front","No",33,18.9,0.409,0.546,0.851,0.5,3.4,0.6,0.4,0.5,0.7,1.9,7806971
"Chris Andersen","C","CLE","2016-17","Est","Front","No",38,9.5,0,0.474,0.714,0.8,1.8,0.4,0.4,0.6,0.4,1.7,1551659
"Chris McCullough","PF","WAS","2016-17","Est","Front","No",21,5,0.143,0.6,0.6,0.6,0.6,0.1,0.1,0.1,0.2,0.4,1191480
"Chris Paul","PG","LAC","2016-17","West","Back","No",31,31.5,0.411,0.518,0.892,0.7,4.3,9.2,2,0.1,2.4,2.4,22868827
"Christian Wood","PF","CHO","2016-17","Est","Front","No",21,8.2,0,0.667,0.733,1.1,1.2,0.2,0.2,0.5,0.5,0.8,874636
"CJ McCollum","SG","POR","2016-17","West","Back","No",25,35,0.421,0.506,0.912,0.8,2.9,3.6,0.9,0.5,2.2,2.5,3219579
"Cody Zeller","C","CHO","2016-17","Est","Front","No",24,27.8,0,0.572,0.679,2.2,4.4,1.6,1,0.9,1,3,5318313
"Corey Brewer","SF","LAL","2016-17","West","Front","No",30,15.6,0.229,0.522,0.735,0.4,1.6,1.2,0.7,0.2,0.7,1.6,7612172
